WS3R MOMENTUM-TRUE ENTRY MECH  -  150 TRADES  -  dr, OPEN and rev EXIT
generated 2026-09-17 23:42:26 UTC

  entry   ws23.py TRIG=3   dr latch ws1Mage/ws13m STOCK no wob
          trigger = first ws3r momentum-true toward dr in the cycle
          hi tf   = highest of ws4..ws12 momentum-true at the trigger bar, else ws3
          open    = ws1x oob run >= 3 bars = 15 s, then back in bounds
  exit    first ws1mage-rev strictly after the open, at the trade OWN dr, wherever it lands.
          No dr-flip fallback. A trade with no such event stays open to the tape end.
  window  2026-09-01 -> 2026-09-06
  source  161 dr cycles -> 7 no trigger -> 4 no entry cross -> 150 trades
  dr      +1 72   -1 78

  #       dr OPEN                 rev EXIT            
  -----------------------------------------------------
  41      -1 09-02 10:46:05       09-02 10:47:10      
  42      +1 09-02 11:07:35       09-02 14:09:10      
  43      -1 09-02 11:25:15       09-02 13:00:10      
  44      +1 09-02 11:45:35       09-02 14:09:10      
  45      -1 09-02 12:41:05       09-02 13:00:10      
  46      +1 09-02 13:47:30       09-02 14:09:10      
  47      -1 09-02 14:56:05       09-02 15:14:50      
  48      +1 09-02 15:38:40       09-02 16:23:45      
  49      -1 09-02 16:46:10       09-02 17:10:20      
  50      +1 09-02 18:02:25       09-03 00:00:35      
  51      -1 09-02 18:18:00       09-02 18:40:00      
  52      -1 09-02 19:41:15       09-02 22:22:20      
  53      +1 09-02 20:14:35       09-03 00:00:35      
  54      -1 09-02 21:26:00       09-02 22:22:20      
  55      +1 09-02 21:49:00       09-03 00:00:35      
  56      -1 09-02 22:13:05       09-02 22:22:20      
  57      +1 09-02 23:14:00       09-03 00:00:35      
  58      -1 09-03 00:24:40       09-04 01:35:45      
  59      +1 09-03 01:15:45       09-03 02:52:20      
  60      -1 09-03 02:04:25       09-04 01:35:45      
  61      +1 09-03 02:16:50       09-03 02:52:20      
  62      -1 09-03 03:18:55       09-04 01:35:45      
  63      +1 09-03 04:05:30       09-03 06:26:55      
  64      -1 09-03 04:25:15       09-04 01:35:45      
  65      +1 09-03 05:00:25       09-03 06:26:55      
  66      -1 09-03 05:37:00       09-04 01:35:45      
  67      +1 09-03 05:54:15       09-03 06:26:55      
  68      -1 09-03 07:34:30       09-04 01:35:45      
  69      -1 09-03 07:54:00       09-04 01:35:45      
  70      +1 09-03 08:11:05       09-03 11:47:20      
  71      -1 09-03 08:46:20       09-04 01:35:45      
  72      -1 09-03 09:35:15       09-04 01:35:45      
  73      +1 09-03 11:04:45       09-03 11:47:20      
  74      -1 09-03 13:24:40       09-04 01:35:45      
  75      +1 09-03 13:30:55       09-03 14:22:50      
  76      -1 09-03 14:05:25       09-04 01:35:45      
  77      +1 09-03 14:26:50       09-03 15:00:20      
  78      -1 09-03 17:07:35       09-04 01:35:45      
  79      +1 09-03 17:19:10       09-03 18:49:30      
  80      -1 09-03 19:53:05       09-04 01:35:45      
  81      +1 09-03 21:16:20       09-04 03:04:50      
  82      -1 09-03 22:04:15       09-04 01:35:45      
  83      +1 09-03 23:44:10       09-04 03:04:50      
  84      +1 09-04 00:43:15       09-04 03:04:50      
