Per-stop aggregate (ceiling=0.7%, profit_zone=0.6%):
   stop%  w_ceil  w_stop  stopped    inc   win%  avg_bank    gross_p    gross_l         net
    1.27    4176    1255     2415     77  68.5%    1.1300   +6137.05   -3067.05    +3070.00
    1.31    4235    1255     2355     78  69.3%    1.1304   +6206.01   -3085.05    +3120.96
    1.35    4295    1246     2298     84  69.9%    1.1312   +6268.11   -3102.30    +3165.81
    1.39    4344    1247     2246     86  70.6%    1.1318   +6327.88   -3121.94    +3205.94
    1.43    4401    1237     2193     92  71.2%    1.1326   +6385.44   -3135.99    +3249.45
    1.47    4452    1227     2145     99  71.7%    1.1332   +6435.69   -3153.15    +3282.54
    1.51    4500    1222     2093    108  72.2%    1.1337   +6486.95   -3160.43    +3326.52


Per-stop aggregate (ceiling=1.0%, profit_zone=0.6%):
   stop%  w_ceil  w_stop  stopped    inc   win%  avg_bank    gross_p    gross_l         net
  ------  ------  ------  -------  -----  -----  --------  ---------  ---------  ----------
    0.07    1164     539     6217      4  21.5%    0.9282   +1580.74    -435.19    +1145.55
    0.11    1415     619     5884      6  25.7%    0.9325   +1896.78    -647.24    +1249.53
    0.15    1623     677     5616      8  29.0%    0.9356   +2151.98    -842.40    +1309.58
    0.19    1826     737     5353      8  32.3%    0.9374   +2402.47   -1017.07    +1385.40
    0.23    1982     801     5133      8  35.1%    0.9368   +2607.17   -1180.59    +1426.58
    0.27    2164     836     4915      9  37.9%    0.9391   +2817.31   -1327.05    +1490.26
    0.31    2306     854     4753     11  39.9%    0.9417   +2975.72   -1473.43    +1502.29
    0.35    2441     890     4582     11  42.0%    0.9422   +3138.59   -1603.70    +1534.89
    0.39    2590     896     4427     11  44.0%    0.9445   +3292.46   -1726.53    +1565.93
    0.43    2711     910     4290     13  45.7%    0.9458   +3424.57   -1844.70    +1579.87
    0.47    2833     914     4163     14  47.3%    0.9473   +3549.36   -1956.61    +1592.75
    0.51    2972     922     4015     15  49.1%    0.9489   +3695.13   -2047.65    +1647.48
    0.55    3091     930     3887     16  50.7%    0.9505   +3822.04   -2137.85    +1684.19
    0.59    3202     927     3778     17  52.1%    0.9521   +3931.23   -2229.02    +1702.21
    0.63    3310     927     3669     18  53.5%    0.9535   +4039.91   -2311.47    +1728.44
    0.67    3408     933     3565     18  54.8%    0.9540   +4141.42   -2388.55    +1752.87
    0.71    3507     938     3461     18  56.1%    0.9549   +4244.64   -2457.31    +1787.33
    0.75    3603     942     3360     19  57.4%    0.9558   +4344.01   -2520.00    +1824.01
    0.79    3685     935     3280     24  58.3%    0.9570   +4421.12   -2591.20    +1829.92
    0.83    3760     928     3209     27  59.2%    0.9578   +4490.36   -2663.47    +1826.89
    0.87    3864     915     3116     29  60.3%    0.9595   +4585.45   -2710.92    +1874.54
    0.91    3961     915     3018     30  61.5%    0.9604   +4682.70   -2746.38    +1936.32
    0.95    4054     898     2940     32  62.5%    0.9619   +4763.48   -2793.00    +1970.48
    0.99    4144     889     2857     34  63.5%    0.9632   +4847.84   -2828.43    +2019.41
    1.03    4230     869     2791     34  64.3%    0.9646   +4918.73   -2874.73    +2044.00
    1.07    4285     866     2739     34  65.0%    0.9653   +4972.40   -2930.73    +2041.67
    1.11    4361     854     2673     36  65.8%    0.9665   +5040.51   -2967.03    +2073.48
    1.15    4426     854     2601     43  66.6%    0.9672   +5106.78   -2991.15    +2115.63
    1.19    4485     855     2537     47  67.4%    0.9678   +5167.79   -3019.03    +2148.76
    1.23    4535     858     2479     52  68.1%    0.9680   +5220.65   -3049.17    +2171.48
    1.27    4610     844     2415     55  68.8%    0.9691   +5285.30   -3067.05    +2218.25
    1.31    4667     847     2355     55  69.6%    0.9692   +5344.21   -3085.05    +2259.16
    1.35    4727     844     2296     57  70.3%    0.9695   +5401.28   -3099.60    +2301.68
    1.39    4778     844     2244     58  70.9%    0.9698   +5452.16   -3119.16    +2333.00
    1.43    4826     843     2191     64  71.5%    0.9700   +5498.89   -3133.13    +2365.76
    1.47    4870     840     2144     70  72.1%    0.9701   +5539.17   -3151.68    +2387.49
    1.51    4917     836     2093     78  72.6%    0.9701   +5580.83   -3160.43    +2420.40

