2026-09-03 00:24:42  DatabaseManager             INFO      MySQL connected
2026-09-03 00:24:42  DatabaseManager             INFO      MySQL disconnected
  span 2026-08-03 00:00:00 -> 2026-08-19 00:00:00   276,481 bars
  ws30r flips to true  at dr +1 : 287
  ws30r flips to true  at dr -1 : 287
  ws20r flips to false at dr +1 : 326
  ws20r flips to false at dr -1 : 319
  rows: 1,219

  utc                  event           dr   from      to        
  2026-08-04 20:59:35  ws30r true      +1   sideways  momo      
  2026-08-04 22:08:05  ws20r false     -1   momo      none      
  2026-08-04 23:00:00  ws30r true      -1   none      momo      
  2026-08-05 00:40:00  ws20r false     -1   momo      none      
  2026-08-05 02:30:00  ws30r true      +1   none      momo      
  2026-08-05 03:44:00  ws20r false     +1   momo      none      
  2026-08-05 04:10:15  ws20r false     -1   momo      none      
  2026-08-05 04:10:25  ws20r false     -1   momo      none      
  2026-08-05 04:10:45  ws20r false     -1   momo      none      
  2026-08-05 05:20:00  ws20r false     -1   momo      none      
  2026-08-05 05:58:15  ws20r false     +1   momo      sideways  
  2026-08-05 05:58:35  ws20r false     +1   momo      sideways  
  2026-08-05 07:09:20  ws20r false     +1   momo      none      
  2026-08-05 07:10:05  ws20r false     +1   momo      none      
  2026-08-05 07:11:15  ws20r false     +1   momo      none      
  2026-08-05 07:12:00  ws20r false     +1   momo      none      
  2026-08-05 07:36:10  ws30r true      +1   curl      momo      
  2026-08-05 07:41:15  ws30r true      +1   sideways  momo      
  2026-08-05 08:20:15  ws20r false     -1   momo      none      
  2026-08-05 08:22:05  ws20r false     -1   momo      none      
  2026-08-05 08:23:15  ws20r false     -1   momo      none      
  2026-08-05 08:26:00  ws30r true      +1   sideways  momo      
  2026-08-05 09:42:15  ws30r true      -1   curl      momo      
  2026-08-05 09:44:05  ws30r true      -1   curl      momo      
  2026-08-05 12:06:45  ws20r false     -1   momo      curl      
  2026-08-05 12:07:25  ws20r false     -1   momo      curl      
  2026-08-05 12:14:05  ws20r false     -1   momo      sideways  
  2026-08-05 12:14:20  ws20r false     -1   momo      sideways  
  2026-08-05 12:18:30  ws20r false     -1   momo      sideways  
  2026-08-05 12:18:40  ws20r false     -1   momo      sideways  
  2026-08-05 12:42:20  ws30r true      -1   none      momo      
  2026-08-05 12:45:15  ws30r true      -1   none      momo      
  2026-08-05 12:45:40  ws30r true      -1   none      momo      
  2026-08-05 13:56:50  ws20r false     -1   momo      none      
  2026-08-05 14:29:00  ws20r false     +1   momo      none      
  2026-08-05 14:29:20  ws20r false     +1   momo      none      
  2026-08-05 14:29:45  ws20r false     +1   momo      none      
  2026-08-05 15:30:00  ws30r true      +1   none      momo      
  2026-08-05 15:52:10  ws30r true      +1   none      momo      
  2026-08-05 15:52:25  ws30r true      +1   none      momo      
  2026-08-05 15:53:15  ws30r true      +1   none      momo      
  2026-08-05 16:00:00  ws30r true      +1   none      momo      
  2026-08-05 16:24:00  ws20r false     +1   momo      none      
  2026-08-05 16:26:10  ws20r false     +1   momo      none      
  2026-08-05 16:26:55  ws20r false     +1   momo      none      
  2026-08-05 16:27:10  ws20r false     +1   momo      none      
  2026-08-05 16:27:25  ws20r false     +1   momo      none      
  2026-08-05 18:32:50  ws30r true      +1   none      momo      
  2026-08-05 18:33:20  ws30r true      +1   none      momo      
  2026-08-05 18:34:15  ws30r true      +1   none      momo      
  2026-08-05 18:35:25  ws30r true      +1   none      momo      
  2026-08-05 18:35:35  ws30r true      +1   none      momo      
  2026-08-05 18:42:05  ws20r false     -1   momo      curl      
  2026-08-05 19:30:00  ws30r true      -1   none      momo      
  2026-08-05 20:24:50  ws20r false     -1   momo      none      
  2026-08-05 20:26:15  ws20r false     -1   momo      none      
  2026-08-05 20:26:30  ws20r false     -1   momo      none      
  2026-08-05 20:28:05  ws20r false     -1   momo      none      
  2026-08-05 20:48:20  ws30r true      -1   none      momo      
  2026-08-05 20:52:00  ws30r true      -1   none      momo      
  2026-08-05 20:58:40  ws30r true      -1   none      momo      
  2026-08-05 21:04:40  ws30r true      -1   none      momo      
  2026-08-05 21:10:35  ws30r true      -1   none      momo      
  2026-08-05 21:16:55  ws30r true      -1   none      momo      
  2026-08-05 21:37:35  ws20r false     +1   momo      none      
  2026-08-05 21:39:00  ws20r false     +1   momo      none      
  2026-08-05 22:48:00  ws20r false     +1   momo      none      
  2026-08-05 22:48:00  ws30r true      +1   curl      momo      
  2026-08-05 23:22:15  ws20r false     -1   momo      sideways  
  2026-08-05 23:26:10  ws20r false     -1   momo      sideways  
  2026-08-05 23:29:40  ws20r false     -1   momo      sideways  
  2026-08-05 23:30:15  ws20r false     -1   momo      sideways  
  2026-08-05 23:33:40  ws20r false     -1   momo      none      
  2026-08-05 23:34:20  ws20r false     -1   momo      none      
  2026-08-05 23:37:00  ws20r false     -1   momo      none      
  2026-08-05 23:55:10  ws30r true      +1   sideways  momo      
  2026-08-05 23:57:50  ws30r true      +1   sideways  momo      
  2026-08-05 23:58:00  ws30r true      +1   sideways  momo      
  2026-08-05 23:59:40  ws30r true      +1   none      momo      
  2026-08-06 00:16:00  ws30r true      +1   sideways  momo      
  2026-08-06 00:36:00  ws30r true      +1   sideways  momo      
  2026-08-06 01:09:10  ws20r false     +1   momo      curl      
  2026-08-06 01:13:05  ws20r false     +1   momo      sideways  
  2026-08-06 01:16:55  ws20r false     +1   momo      sideways  
  2026-08-06 01:20:10  ws20r false     +1   momo      sideways  
  2026-08-06 01:20:55  ws20r false     +1   momo      sideways  
  2026-08-06 01:21:05  ws20r false     +1   momo      sideways  
  2026-08-06 01:23:10  ws30r true      +1   sideways  momo      
  2026-08-06 01:24:00  ws30r true      +1   sideways  momo      
  2026-08-06 01:25:40  ws30r true      +1   sideways  momo      
  2026-08-06 01:28:15  ws30r true      +1   none      momo      
  2026-08-06 01:28:55  ws30r true      +1   none      momo      
  2026-08-06 02:18:00  ws30r true      -1   curl      momo      
  2026-08-06 04:00:05  ws20r false     -1   momo      none      
  2026-08-06 04:55:55  ws20r false     +1   momo      none      
  2026-08-06 04:56:15  ws20r false     +1   momo      none      
  2026-08-06 05:12:15  ws30r true      -1   none      momo      
  2026-08-06 05:16:20  ws30r true      -1   none      momo      
  2026-08-06 05:52:00  ws20r false     +1   momo      none      
  2026-08-06 08:03:15  ws30r true      +1   none      momo      
  2026-08-06 08:04:45  ws30r true      +1   none      momo      
  2026-08-06 08:30:35  ws30r true      +1   none      momo      
  2026-08-06 08:32:35  ws30r true      +1   none      momo      
  2026-08-06 08:34:30  ws30r true      +1   none      momo      
  2026-08-06 08:37:00  ws30r true      +1   none      momo      
  2026-08-06 08:48:00  ws20r false     +1   momo      none      
  2026-08-06 08:49:20  ws20r false     +1   momo      none      
  2026-08-06 08:50:45  ws20r false     +1   momo      none      
  2026-08-06 08:50:55  ws20r false     +1   momo      none      
  2026-08-06 09:21:00  ws20r false     -1   momo      curl      
  2026-08-06 10:36:00  ws20r false     -1   momo      none      
  2026-08-06 11:00:00  ws30r true      -1   curl      momo      
  2026-08-06 12:30:00  ws30r true      +1   none      momo      
  2026-08-06 13:08:00  ws20r false     +1   momo      none      
  2026-08-06 17:11:15  ws20r false     -1   momo      none      
  2026-08-06 17:30:00  ws30r true      -1   none      momo      
  2026-08-06 17:30:45  ws30r true      -1   none      momo      
  2026-08-06 17:36:15  ws30r true      -1   none      momo      
  2026-08-06 17:48:35  ws20r false     -1   momo      curl      
  2026-08-06 17:48:50  ws20r false     -1   momo      curl      
  2026-08-06 17:49:15  ws20r false     -1   momo      curl      
  2026-08-06 17:54:10  ws30r true      -1   none      momo      
  2026-08-06 17:54:20  ws30r true      -1   none      momo      
  2026-08-06 18:08:00  ws20r false     -1   momo      sideways  
  2026-08-06 18:12:00  ws20r false     -1   momo      none      
  2026-08-06 19:24:05  ws20r false     -1   momo      none      
  2026-08-06 20:16:00  ws20r false     -1   momo      none      
  2026-08-06 20:18:55  ws20r false     -1   momo      none      
  2026-08-06 21:40:25  ws20r false     +1   momo      sideways  
  2026-08-06 21:41:20  ws20r false     +1   momo      sideways  
  2026-08-06 21:41:35  ws20r false     +1   momo      sideways  
  2026-08-06 21:57:15  ws30r true      -1   sideways  momo      
  2026-08-06 22:40:00  ws20r false     +1   momo      none      
  2026-08-06 23:31:45  ws20r false     -1   momo      sideways  
  2026-08-06 23:32:05  ws20r false     -1   momo      sideways  
  2026-08-07 00:04:55  ws30r true      +1   curl      momo      
  2026-08-07 00:05:05  ws30r true      +1   curl      momo      
  2026-08-07 00:57:35  ws20r false     +1   momo      sideways  
  2026-08-07 00:57:50  ws20r false     +1   momo      sideways  
  2026-08-07 00:59:35  ws20r false     +1   momo      sideways  
  2026-08-07 02:08:10  ws20r false     +1   momo      none      
  2026-08-07 02:08:30  ws20r false     +1   momo      none      
  2026-08-07 02:09:15  ws20r false     +1   momo      none      
  2026-08-07 02:11:05  ws20r false     +1   momo      none      
  2026-08-07 02:12:00  ws20r false     +1   momo      none      
  2026-08-07 02:24:25  ws30r true      +1   none      momo      
  2026-08-07 02:24:35  ws30r true      +1   none      momo      
  2026-08-07 03:54:00  ws30r true      -1   curl      momo      
  2026-08-07 04:32:00  ws20r false     -1   momo      none      
  2026-08-07 05:27:25  ws30r true      -1   none      momo      
  2026-08-07 05:28:05  ws30r true      -1   none      momo      
  2026-08-07 06:36:00  ws30r true      +1   curl      momo      
  2026-08-07 07:04:00  ws20r false     +1   momo      none      
  2026-08-07 09:12:00  ws20r false     -1   momo      none      
  2026-08-07 09:46:25  ws20r false     +1   momo      curl      
  2026-08-07 09:46:50  ws20r false     +1   momo      curl      
  2026-08-07 09:47:35  ws20r false     +1   momo      curl      
  2026-08-07 09:47:45  ws20r false     +1   momo      curl      
  2026-08-07 10:40:20  ws20r false     +1   momo      none      
  2026-08-07 10:42:00  ws20r false     +1   momo      none      
  2026-08-07 10:42:30  ws20r false     +1   momo      none      
  2026-08-07 10:42:55  ws20r false     +1   momo      none      
  2026-08-07 10:43:05  ws20r false     +1   momo      none      
  2026-08-07 12:28:15  ws20r false     -1   momo      none      
  2026-08-07 12:30:00  ws20r false     -1   momo      none      
  2026-08-07 12:31:40  ws20r false     -1   momo      none      
  2026-08-07 12:32:00  ws20r false     -1   momo      none      
  2026-08-07 12:33:50  ws20r false     -1   momo      none      
  2026-08-07 13:16:10  ws30r true      -1   none      momo      
  2026-08-07 13:24:40  ws30r true      -1   none      momo      
  2026-08-07 13:26:50  ws30r true      -1   none      momo      
  2026-08-07 13:28:45  ws20r false     -1   momo      sideways  
  2026-08-07 13:30:00  ws30r true      -1   none      momo      
  2026-08-07 13:37:05  ws30r true      -1   none      momo      
  2026-08-07 13:37:50  ws30r true      -1   none      momo      
  2026-08-07 13:56:35  ws30r true      -1   none      momo      
  2026-08-07 13:59:40  ws30r true      -1   none      momo      
  2026-08-07 14:01:50  ws30r true      -1   none      momo      
  2026-08-07 14:03:50  ws30r true      -1   none      momo      
  2026-08-07 14:05:50  ws30r true      -1   none      momo      
  2026-08-07 14:07:20  ws30r true      -1   none      momo      
  2026-08-07 14:07:50  ws30r true      -1   none      momo      
  2026-08-07 14:10:00  ws30r true      -1   none      momo      
  2026-08-07 14:10:30  ws30r true      -1   none      momo      
  2026-08-07 14:11:20  ws30r true      -1   none      momo      
  2026-08-07 14:13:00  ws30r true      -1   none      momo      
  2026-08-07 14:13:45  ws30r true      -1   none      momo      
  2026-08-07 14:15:30  ws30r true      -1   none      momo      
  2026-08-07 14:17:50  ws30r true      -1   none      momo      
  2026-08-07 14:18:35  ws30r true      -1   none      momo      
  2026-08-07 14:21:30  ws30r true      -1   none      momo      
  2026-08-07 14:21:50  ws30r true      -1   none      momo      
  2026-08-07 14:22:05  ws30r true      -1   none      momo      
  2026-08-07 14:23:25  ws30r true      -1   none      momo      
  2026-08-07 15:08:55  ws30r true      -1   curl      momo      
  2026-08-07 15:12:15  ws20r false     -1   momo      none      
  2026-08-07 15:13:00  ws20r false     -1   momo      none      
  2026-08-07 15:13:35  ws20r false     -1   momo      none      
  2026-08-07 16:04:10  ws20r false     +1   momo      sideways  
  2026-08-07 16:04:25  ws20r false     +1   momo      sideways  
  2026-08-07 16:04:50  ws30r true      -1   none      momo      
  2026-08-07 16:08:25  ws20r false     +1   momo      sideways  
  2026-08-07 16:21:40  ws20r false     +1   momo      sideways  
  2026-08-07 16:27:30  ws20r false     +1   momo      sideways  
  2026-08-07 16:27:40  ws20r false     +1   momo      sideways  
  2026-08-07 16:31:30  ws20r false     +1   momo      curl      
  2026-08-07 17:36:00  ws20r false     +1   momo      none      
  2026-08-07 18:24:00  ws30r true      +1   curl      momo      
  2026-08-07 19:52:45  ws20r false     +1   momo      none      
  2026-08-07 19:53:10  ws20r false     +1   momo      none      
  2026-08-07 20:00:00  ws20r false     +1   momo      none      
  2026-08-07 20:00:40  ws20r false     +1   momo      none      
  2026-08-07 20:59:05  ws30r true      -1   none      momo      
  2026-08-07 22:20:00  ws20r false     -1   momo      none      
  2026-08-08 00:06:50  ws30r true      +1   none      momo      
  2026-08-08 00:12:10  ws30r true      +1   none      momo      
  2026-08-08 00:12:55  ws30r true      +1   none      momo      
  2026-08-08 00:14:35  ws30r true      +1   none      momo      
  2026-08-08 00:40:05  ws20r false     +1   momo      none      
  2026-08-08 05:05:00  ws20r false     -1   momo      sideways  
  2026-08-08 05:05:40  ws20r false     -1   momo      sideways  
  2026-08-08 05:06:00  ws20r false     -1   momo      sideways  
  2026-08-08 05:12:05  ws20r false     -1   momo      none      
  2026-08-08 05:15:55  ws20r false     -1   momo      none      
  2026-08-08 05:30:00  ws30r true      -1   none      momo      
  2026-08-08 05:35:45  ws30r true      -1   none      momo      
  2026-08-08 05:43:20  ws30r true      -1   none      momo      
  2026-08-08 05:44:00  ws30r true      -1   none      momo      
  2026-08-08 06:00:00  ws30r true      -1   none      momo      
  2026-08-08 06:05:00  ws30r true      -1   none      momo      
  2026-08-08 06:05:25  ws30r true      -1   none      momo      
  2026-08-08 06:10:00  ws30r true      -1   none      momo      
  2026-08-08 06:10:10  ws30r true      -1   none      momo      
  2026-08-08 06:11:35  ws30r true      -1   none      momo      
  2026-08-08 06:12:50  ws30r true      -1   none      momo      
  2026-08-08 06:26:35  ws30r true      -1   none      momo      
  2026-08-08 06:28:10  ws30r true      -1   none      momo      
  2026-08-08 06:30:00  ws30r true      -1   none      momo      
  2026-08-08 06:36:00  ws20r false     -1   momo      none      
  2026-08-08 07:36:45  ws20r false     +1   momo      sideways  
  2026-08-08 07:37:30  ws20r false     +1   momo      sideways  
  2026-08-08 07:38:15  ws20r false     +1   momo      sideways  
  2026-08-08 07:38:30  ws20r false     +1   momo      sideways  
  2026-08-08 08:24:15  ws30r true      -1   none      momo      
  2026-08-08 08:26:00  ws30r true      -1   none      momo      
  2026-08-08 08:26:30  ws30r true      -1   none      momo      
  2026-08-08 08:27:20  ws30r true      -1   none      momo      
  2026-08-08 08:44:10  ws20r false     +1   momo      sideways  
  2026-08-08 08:44:30  ws20r false     +1   momo      none      
  2026-08-08 09:12:00  ws30r true      +1   curl      momo      
  2026-08-08 09:12:20  ws30r true      +1   curl      momo      
  2026-08-08 09:12:45  ws30r true      +1   curl      momo      
  2026-08-08 09:13:35  ws30r true      +1   curl      momo      
  2026-08-08 09:13:50  ws30r true      +1   curl      momo      
  2026-08-08 09:14:00  ws30r true      +1   curl      momo      
  2026-08-08 09:15:30  ws30r true      +1   curl      momo      
  2026-08-08 09:17:50  ws30r true      +1   curl      momo      
  2026-08-08 09:19:25  ws30r true      +1   curl      momo      
  2026-08-08 09:24:00  ws30r true      +1   sideways  momo      
  2026-08-08 09:24:45  ws30r true      +1   sideways  momo      
  2026-08-08 09:26:10  ws30r true      +1   sideways  momo      
  2026-08-08 09:26:25  ws30r true      +1   sideways  momo      
  2026-08-08 09:31:05  ws20r false     -1   momo      curl      
  2026-08-08 09:32:30  ws20r false     -1   momo      curl      
  2026-08-08 09:33:45  ws20r false     -1   momo      curl      
  2026-08-08 09:34:10  ws20r false     -1   momo      curl      
  2026-08-08 09:34:30  ws20r false     -1   momo      curl      
  2026-08-08 09:34:40  ws20r false     -1   momo      curl      
  2026-08-08 10:23:45  ws20r false     -1   momo      none      
  2026-08-08 10:24:00  ws20r false     -1   momo      none      
  2026-08-08 11:07:20  ws30r true      +1   none      momo      
  2026-08-08 11:09:20  ws30r true      +1   none      momo      
  2026-08-08 11:09:30  ws30r true      +1   none      momo      
  2026-08-08 11:10:15  ws30r true      +1   none      momo      
  2026-08-08 11:11:15  ws30r true      +1   none      momo      
  2026-08-08 11:43:15  ws20r false     +1   momo      none      
  2026-08-08 11:45:30  ws20r false     +1   momo      none      
  2026-08-08 11:49:35  ws30r true      +1   none      momo      
  2026-08-08 11:55:55  ws30r true      +1   none      momo      
  2026-08-08 11:56:35  ws30r true      +1   none      momo      
  2026-08-08 11:56:45  ws30r true      +1   none      momo      
  2026-08-08 11:58:10  ws30r true      +1   sideways  momo      
