2026-09-03 04:08:53  DatabaseManager             INFO      MySQL connected
2026-09-03 04:08:53  DatabaseManager             INFO      MySQL disconnected
  K_WINDOW 3   MOMO_SLOPE_MIN 1.2   MOMO_R2_MIN 0.5   LEVEL_SLACK 13.9
  ws20r false-flip fires on: sideways or none
  span 2026-08-03 00:00:00 -> 2026-08-19 00:00:00   276,481 bars

  CHECK, the 08-04 run that started this: ws20r dr -1, banked extrema 07:00:10
    momentum-false bars 06:30 to 07:40 under the combined setting: 06:31:00 -> sideways, 06:31:35 -> sideways, 06:31:45 -> sideways, 06:33:45 -> sideways, 06:34:00 -> sideways

  ws30r flips to true  at dr +1 : 324
  ws30r flips to true  at dr -1 : 288
  ws20r flips to false at dr +1 : 337
  ws20r flips to false at dr -1 : 385
  rows: 1,334

  utc                  event           dr   from      to        
  2026-08-05 22:52:05  ws30r true      +1   sideways  momo      
  2026-08-05 22:52:30  ws30r true      +1   sideways  momo      
  2026-08-05 22:56:20  ws30r true      +1   sideways  momo      
  2026-08-05 22:57:00  ws30r true      +1   sideways  momo      
  2026-08-05 22:57:10  ws30r true      +1   sideways  momo      
  2026-08-05 23:05:35  ws30r true      +1   sideways  momo      
  2026-08-05 23:09:45  ws30r true      +1   sideways  momo      
  2026-08-05 23:10:10  ws30r true      +1   sideways  momo      
  2026-08-05 23:11:45  ws30r true      +1   sideways  momo      
  2026-08-05 23:13:30  ws30r true      +1   sideways  momo      
  2026-08-05 23:14:45  ws30r true      +1   sideways  momo      
  2026-08-05 23:15:25  ws30r true      +1   sideways  momo      
  2026-08-05 23:15:45  ws30r true      +1   sideways  momo      
  2026-08-05 23:16:15  ws30r true      +1   sideways  momo      
  2026-08-06 00:55:40  ws30r true      +1   sideways  momo      
  2026-08-06 00:58:25  ws30r true      +1   sideways  momo      
  2026-08-06 00:59:10  ws30r true      +1   sideways  momo      
  2026-08-06 00:59:50  ws30r true      +1   sideways  momo      
  2026-08-06 01:01:30  ws30r true      +1   sideways  momo      
  2026-08-06 01:07:15  ws30r true      +1   sideways  momo      
  2026-08-06 01:07:55  ws30r true      +1   sideways  momo      
  2026-08-06 01:08:10  ws30r true      +1   sideways  momo      
  2026-08-06 01:09:00  ws30r true      +1   sideways  momo      
  2026-08-06 02:06:50  ws30r true      -1   sideways  momo      
  2026-08-06 02:07:05  ws30r true      -1   sideways  momo      
  2026-08-06 02:07:40  ws30r true      -1   sideways  momo      
  2026-08-06 02:08:30  ws30r true      -1   sideways  momo      
  2026-08-06 03:27:00  ws30r true      -1   sideways  momo      
  2026-08-06 03:28:00  ws30r true      -1   sideways  momo      
  2026-08-06 03:28:15  ws30r true      -1   sideways  momo      
  2026-08-06 03:28:45  ws30r true      -1   sideways  momo      
  2026-08-06 03:30:10  ws30r true      -1   sideways  momo      
  2026-08-06 03:30:25  ws30r true      -1   sideways  momo      
  2026-08-06 03:34:30  ws30r true      -1   sideways  momo      
  2026-08-06 03:37:05  ws20r false     -1   momo      none      
  2026-08-06 03:38:55  ws30r true      -1   sideways  momo      
  2026-08-06 03:39:00  ws20r false     -1   momo      none      
  2026-08-06 03:46:45  ws30r true      -1   sideways  momo      
  2026-08-06 03:47:15  ws30r true      -1   sideways  momo      
  2026-08-06 03:47:35  ws30r true      -1   sideways  momo      
  2026-08-06 03:52:05  ws30r true      -1   sideways  momo      
  2026-08-06 03:52:25  ws30r true      -1   sideways  momo      
  2026-08-06 03:57:00  ws30r true      -1   sideways  momo      
  2026-08-06 05:42:00  ws20r false     +1   momo      none      
  2026-08-06 06:20:15  ws20r false     -1   momo      none      
  2026-08-06 08:33:00  ws20r false     +1   momo      sideways  
  2026-08-06 08:33:40  ws20r false     +1   momo      sideways  
  2026-08-06 10:20:00  ws20r false     -1   momo      sideways  
  2026-08-06 12:18:00  ws30r true      +1   curl      momo      
  2026-08-06 12:18:10  ws30r true      +1   curl      momo      
  2026-08-06 12:20:40  ws30r true      +1   sideways  momo      
  2026-08-06 12:21:00  ws30r true      +1   sideways  momo      
  2026-08-06 12:40:20  ws20r false     +1   momo      sideways  
  2026-08-06 12:41:20  ws20r false     +1   momo      sideways  
  2026-08-06 12:41:30  ws20r false     +1   momo      sideways  
  2026-08-06 12:42:00  ws20r false     +1   momo      sideways  
  2026-08-06 12:43:20  ws20r false     +1   momo      sideways  
  2026-08-06 12:45:00  ws20r false     +1   momo      sideways  
  2026-08-06 12:46:10  ws20r false     +1   momo      sideways  
  2026-08-06 14:56:10  ws30r true      +1   sideways  momo      
  2026-08-06 16:49:50  ws20r false     -1   momo      none      
  2026-08-06 16:50:45  ws20r false     -1   momo      none      
  2026-08-06 18:18:00  ws30r true      -1   sideways  momo      
  2026-08-06 18:20:35  ws30r true      -1   sideways  momo      
  2026-08-06 18:34:30  ws30r true      -1   sideways  momo      
  2026-08-06 18:36:45  ws30r true      -1   sideways  momo      
  2026-08-06 18:37:10  ws30r true      -1   sideways  momo      
  2026-08-06 19:17:10  ws20r false     -1   momo      sideways  
  2026-08-06 19:48:30  ws30r true      -1   none      momo      
  2026-08-06 19:51:50  ws20r false     -1   momo      sideways  
  2026-08-06 19:54:00  ws20r false     -1   momo      sideways  
  2026-08-06 19:56:00  ws20r false     -1   momo      sideways  
  2026-08-06 19:56:25  ws20r false     -1   momo      sideways  
  2026-08-06 19:56:45  ws20r false     -1   momo      sideways  
  2026-08-06 21:18:25  ws30r true      -1   sideways  momo      
