timestamp_utc,direction,duration_bars,timestamp_ms
2026-05-15T20:51:05+00:00,LONG,2,1778878265000
2026-05-15T21:01:35+00:00,SHORT,3,1778878895000
2026-05-15T21:04:40+00:00,SHORT,1,1778879080000
2026-05-15T21:08:55+00:00,SHORT,1,1778879335000
2026-05-15T21:19:05+00:00,SHORT,1,1778879945000
2026-05-15T21:23:00+00:00,LONG,9,1778880180000
2026-05-15T21:31:35+00:00,LONG,3,1778880695000
2026-05-15T21:37:20+00:00,SHORT,1,1778881040000
2026-05-15T21:42:40+00:00,SHORT,2,1778881360000
2026-05-15T21:47:10+00:00,SHORT,8,1778881630000
2026-05-15T21:59:50+00:00,LONG,1,1778882390000
2026-05-15T22:00:05+00:00,LONG,4,1778882405000
2026-05-15T22:06:00+00:00,SHORT,2,1778882760000
2026-05-15T22:10:25+00:00,SHORT,2,1778883025000
2026-05-15T22:12:00+00:00,SHORT,1,1778883120000
2026-05-15T22:18:20+00:00,SHORT,6,1778883500000
2026-05-15T22:30:25+00:00,LONG,1,1778884225000
2026-05-15T22:33:35+00:00,SHORT,1,1778884415000
2026-05-15T22:44:25+00:00,SHORT,2,1778885065000
2026-05-15T22:52:40+00:00,LONG,1,1778885560000
2026-05-15T22:57:45+00:00,SHORT,1,1778885865000
2026-05-15T22:58:15+00:00,SHORT,5,1778885895000
2026-05-15T23:02:50+00:00,SHORT,6,1778886170000
2026-05-15T23:07:50+00:00,SHORT,4,1778886470000
2026-05-15T23:10:00+00:00,LONG,1,1778886600000
2026-05-15T23:12:10+00:00,SHORT,2,1778886730000
2026-05-15T23:18:40+00:00,SHORT,1,1778887120000
2026-05-15T23:31:10+00:00,LONG,2,1778887870000
2026-05-15T23:36:40+00:00,LONG,1,1778888200000
2026-05-15T23:44:10+00:00,SHORT,13,1778888650000
2026-05-15T23:56:20+00:00,SHORT,2,1778889380000
2026-05-16T00:02:00+00:00,LONG,8,1778889720000
2026-05-16T00:08:10+00:00,SHORT,8,1778890090000
2026-05-16T00:17:15+00:00,LONG,5,1778890635000
2026-05-16T00:22:55+00:00,SHORT,3,1778890975000
2026-05-16T00:26:15+00:00,SHORT,7,1778891175000
2026-05-16T00:31:00+00:00,LONG,2,1778891460000
2026-05-16T00:42:25+00:00,SHORT,1,1778892145000
2026-05-16T00:46:40+00:00,LONG,1,1778892400000
2026-05-16T00:55:20+00:00,LONG,5,1778892920000
2026-05-16T00:59:55+00:00,LONG,4,1778893195000
2026-05-16T01:08:25+00:00,SHORT,2,1778893705000
2026-05-16T01:09:40+00:00,SHORT,1,1778893780000
2026-05-16T01:19:10+00:00,LONG,1,1778894350000
2026-05-16T01:20:25+00:00,LONG,2,1778894425000
2026-05-16T01:26:25+00:00,LONG,7,1778894785000
2026-05-16T01:47:00+00:00,SHORT,3,1778896020000
2026-05-16T01:51:50+00:00,SHORT,1,1778896310000
2026-05-16T02:09:55+00:00,LONG,4,1778897395000
2026-05-16T02:11:35+00:00,LONG,3,1778897495000
2026-05-16T02:32:05+00:00,LONG,1,1778898725000
